Date,Number
2024-12-08 10:06:35,600076
2024-12-08 10:06:38,600085
2024-12-08 10:06:40,600099
2024-12-08 10:06:42,600112
2024-12-08 10:06:44,600129
2024-12-08 10:06:46,600143
2024-12-08 10:06:48,600150
2024-12-08 10:06:50,600162
2024-12-08 10:06:52,600177
2024-12-08 10:06:54,600184
2024-12-08 10:06:56,600194
2024-12-08 10:06:58,600203
2024-12-08 10:07:01,600211
2024-12-08 10:07:03,600220
2024-12-08 10:07:05,600231
2024-12-08 10:07:07,600242
2024-12-08 10:07:09,600261
2024-12-08 10:07:11,600270
2024-12-08 10:07:13,600277
2024-12-08 10:07:15,600289
2024-12-08 10:07:17,600299
2024-12-08 10:07:19,600308
2024-12-08 10:07:21,600322
2024-12-08 10:07:24,600330
2024-12-08 10:07:26,600347
2024-12-08 10:07:28,600360
2024-12-08 10:07:30,600369
2024-12-08 10:07:32,600373
2024-12-08 10:07:34,600380
2024-12-08 10:07:36,600394
2024-12-08 10:07:38,600402
2024-12-08 10:07:40,600414
2024-12-08 10:07:43,600423
2024-12-08 10:07:45,600424
2024-12-08 10:07:47,600435
2024-12-08 10:07:49,600446
2024-12-08 10:07:51,600455
2024-12-08 10:07:53,600470
2024-12-08 10:07:55,600478
2024-12-08 10:07:58,600485
2024-12-08 10:08:00,600499
2024-12-08 10:08:02,600507
2024-12-08 10:08:04,600519
2024-12-08 10:08:06,600530
2024-12-08 10:08:08,600535
2024-12-08 10:08:10,600549
2024-12-08 10:08:12,600554
2024-12-08 10:08:14,600569
2024-12-08 10:08:17,600575
2024-12-08 10:08:19,600588
2024-12-08 10:08:21,600598
2024-12-08 10:08:23,600607
2024-12-08 10:08:25,600616
2024-12-08 10:08:27,600629
2024-12-08 10:08:29,600640
2024-12-08 10:08:31,600647
2024-12-08 10:08:33,600660
2024-12-08 10:08:36,600671
2024-12-08 10:08:38,600683
2024-12-08 10:08:40,600697
2024-12-08 10:08:42,600703
2024-12-08 10:08:44,600712
2024-12-08 10:08:46,600729
2024-12-08 10:08:48,600738
2024-12-08 10:08:50,600755
2024-12-08 10:08:52,600757
2024-12-08 10:08:54,600771
2024-12-08 10:08:56,600775
2024-12-08 10:08:58,600785
2024-12-08 10:09:01,600794
2024-12-08 10:09:03,600807
2024-12-08 10:09:05,600819
2024-12-08 10:09:07,600834
2024-12-08 10:09:09,600846
2024-12-08 10:09:11,600856
2024-12-08 10:09:13,600868
2024-12-08 10:09:15,600879
2024-12-08 10:09:17,600886
2024-12-08 10:09:19,600894
2024-12-08 10:09:22,600907
2024-12-08 10:09:24,600916
2024-12-08 10:09:26,600926
2024-12-08 10:09:28,600937
2024-12-08 10:09:30,600949
2024-12-08 10:09:32,600958
2024-12-08 10:09:34,600968
2024-12-08 10:09:36,600978
2024-12-08 10:09:38,600990
2024-12-08 10:09:40,601005
2024-12-08 10:09:42,601015
2024-12-08 10:09:45,601031
2024-12-08 10:09:47,601039
2024-12-08 10:09:49,601047
2024-12-08 10:09:51,601059
2024-12-08 10:09:53,601069
2024-12-08 10:09:55,601080
2024-12-08 10:09:57,601084
2024-12-08 10:09:59,601099
2024-12-08 10:10:01,601107
2024-12-08 10:10:03,601114
2024-12-08 10:10:05,601123
2024-12-08 10:10:08,601136
2024-12-08 10:10:10,601146
2024-12-08 10:10:12,601162
2024-12-08 10:10:14,601178
2024-12-08 10:10:16,601190
2024-12-08 10:10:18,601203
2024-12-08 10:10:20,601213
2024-12-08 10:10:22,601224
2024-12-08 10:10:24,601232
2024-12-08 10:10:26,601244
2024-12-08 10:10:29,601257
2024-12-08 10:10:31,601266
2024-12-08 10:10:33,601280
2024-12-08 10:10:35,601293
2024-12-08 10:10:37,601302
2024-12-08 10:10:39,601313
2024-12-08 10:10:41,601331
2024-12-08 10:10:43,601338
2024-12-08 10:10:45,601345
2024-12-08 10:10:47,601354
2024-12-08 10:10:49,601361
2024-12-08 10:10:52,601373
2024-12-08 10:10:54,601379
2024-12-08 10:10:56,601385
2024-12-08 10:10:58,601396
2024-12-08 10:11:00,601404
2024-12-08 10:11:02,601414
2024-12-08 10:11:04,601415
2024-12-08 10:11:06,601424
2024-12-08 10:11:08,601431
2024-12-08 10:11:10,601442
2024-12-08 10:11:13,601450
2024-12-08 10:11:15,601461
2024-12-08 10:11:17,601471
2024-12-08 10:11:19,601482
2024-12-08 10:11:21,601499
2024-12-08 10:11:23,601513
2024-12-08 10:11:25,601527
2024-12-08 10:11:27,601540
2024-12-08 10:11:29,601551
2024-12-08 10:11:31,601560
2024-12-08 10:11:33,601569
2024-12-08 10:11:36,601581
2024-12-08 10:11:38,601591
2024-12-08 10:11:40,601598
2024-12-08 10:11:42,601608
2024-12-08 10:11:44,601617
2024-12-08 10:11:46,601628
2024-12-08 10:11:48,601639
2024-12-08 10:11:50,601647
2024-12-08 10:11:52,601662
2024-12-08 10:11:54,601674
2024-12-08 10:11:56,601681
2024-12-08 10:11:59,601692
2024-12-08 10:12:01,601701
2024-12-08 10:12:03,601708
2024-12-08 10:12:05,601721
2024-12-08 10:12:07,601728
2024-12-08 10:12:09,601742
2024-12-08 10:12:11,601750
2024-12-08 10:12:13,601758
2024-12-08 10:12:15,601771
2024-12-08 10:12:18,601782
2024-12-08 10:12:20,601788
2024-12-08 10:12:22,601799
2024-12-08 10:12:24,601813
2024-12-08 10:12:26,601820
2024-12-08 10:12:28,601831
2024-12-08 10:12:30,601835
2024-12-08 10:12:32,601841
2024-12-08 10:12:34,601849
2024-12-08 10:12:36,601857
2024-12-08 10:12:39,601872
2024-12-08 10:12:41,601882
2024-12-08 10:12:43,601897
2024-12-08 10:12:45,601905
2024-12-08 10:12:47,601915
2024-12-08 10:12:49,601929
2024-12-08 10:12:51,601942
2024-12-08 10:12:53,601948
2024-12-08 10:12:55,601958
2024-12-08 10:12:57,601964
2024-12-08 10:12:59,601970
2024-12-08 10:13:01,601983
2024-12-08 10:13:04,601995
2024-12-08 10:13:06,602009
2024-12-08 10:13:08,602019
2024-12-08 10:13:10,602029
2024-12-08 10:13:12,602040
2024-12-08 10:13:14,602051
2024-12-08 10:13:16,602058
2024-12-08 10:13:19,602074
2024-12-08 10:13:21,602093
2024-12-08 10:13:23,602115
2024-12-08 10:13:25,602125
2024-12-08 10:13:27,602139
2024-12-08 10:13:29,602149
2024-12-08 10:13:31,602156
2024-12-08 10:13:33,602168
2024-12-08 10:13:36,602175
2024-12-08 10:13:38,602186
2024-12-08 10:13:40,602197
2024-12-08 10:13:42,602207
2024-12-08 10:13:44,602220
2024-12-08 10:13:46,602229
2024-12-08 10:13:48,602235
2024-12-08 10:13:50,602242
2024-12-08 10:13:52,602257
2024-12-08 10:13:54,602269
2024-12-08 10:13:56,602282
2024-12-08 10:13:59,602291
2024-12-08 10:14:01,602305
2024-12-08 10:14:03,602314
2024-12-08 10:14:05,602326
2024-12-08 10:14:07,602338
2024-12-08 10:14:09,602349
2024-12-08 10:14:11,602352
2024-12-08 10:14:13,602362
2024-12-08 10:14:15,602377
2024-12-08 10:14:17,602381
2024-12-08 10:14:20,602389
2024-12-08 10:14:22,602401
2024-12-08 10:14:24,602415
2024-12-08 10:14:26,602420
2024-12-08 10:14:28,602431
2024-12-08 10:14:30,602442
2024-12-08 10:14:32,602452
2024-12-08 10:14:34,602461
2024-12-08 10:14:36,602470
2024-12-08 10:14:39,602478
2024-12-08 10:14:41,602487
2024-12-08 10:14:43,602501
2024-12-08 10:14:45,602509
2024-12-08 10:14:47,602527
2024-12-08 10:14:49,602547
2024-12-08 10:14:52,602561
2024-12-08 10:14:54,602570
2024-12-08 10:14:56,602579
2024-12-08 10:14:58,602594
2024-12-08 10:15:00,602604
2024-12-08 10:15:02,602613
2024-12-08 10:15:04,602618
2024-12-08 10:15:07,602626
2024-12-08 10:15:09,602638
2024-12-08 10:15:11,602648
2024-12-08 10:15:13,602660
2024-12-08 10:15:15,602672
2024-12-08 10:15:17,602706
2024-12-08 10:15:25,602713
2024-12-08 10:15:27,602727
2024-12-08 10:15:29,602742
2024-12-08 10:15:31,602747
2024-12-08 10:15:34,602749
2024-12-08 10:15:36,602760
2024-12-08 10:15:38,602764
2024-12-08 10:15:40,602772
2024-12-08 10:15:42,602789
2024-12-08 10:15:44,602803
